# File: qh2odeldevap.dat:
# Data from qh2oevap.dat and deldevap.dat
#
#qh2oevap =
#array([  0.9       ,   0.94870685,   1.00298723,   1.06385589,
#         1.13258978,   1.21081868,   1.30065606,   1.40489288,
#         1.52729276,   1.67305609,   1.84957801,   2.06774279,
#         2.34425684,   2.70614246,   3.2001539 ,   3.91480987,
#         5.04043633,   7.07459747,  11.86154155,  36.68196945])
#
#
#deldevap =
#array([-400.        , -382.96597786, -365.93159236, -348.89677668,
#       -331.86144656, -314.82549418, -297.78877933, -280.75111626,
#       -263.71225352, -246.67184217, -229.62938333, -212.58413807,
#       -195.53496313, -178.47999051, -161.41594463, -144.33650773,
#       -127.22771422, -110.05131313,  -92.65058018,  -71.78922564])
#
#qh2oevap       deldevap

0.9            -400.
0.94870685     -382.96597786
1.00298723     -365.93159236
1.06385589     -348.89677668
1.13258978     -331.86144656
1.21081868     -314.82549418
1.30065606     -297.78877933
1.40489288     -280.75111626
1.52729276     -263.71225352
1.67305609     -246.67184217
1.84957801     -229.62938333
2.06774279     -212.58413807
2.34425684     -195.53496313
2.70614246     -178.47999051
3.2001539      -161.41594463
3.91480987     -144.33650773
5.04043633     -127.22771422
7.07459747     -110.05131313
11.86154155    -92.65058018
36.68196945    -71.78922564

