# File: qh2odeldmix.dat:
# Data from qh2omix.dat and deldmix.dat
#
#qh2omix =
#array([  0.9       ,   0.94870685,   1.00298723,   1.06385589,
#         1.13258978,   1.21081868,   1.30065606,   1.40489288,
#         1.52729276,   1.67305609,   1.84957801,   2.06774279,
#         2.34425684,   2.70614246,   3.2001539 ,   3.91480987,
#         5.04043633,   7.07459747,  11.86154155,  36.68196945])
#
#
#deldmix =
#array([-400.        , -380.77753465, -361.55468931, -342.33139412,
#       -323.10756094, -303.88307704, -284.6577958 , -265.43152295,
#       -246.20399556, -226.9748487 , -207.7435607 , -188.5093588 ,
#       -169.27104746, -150.0266732 , -130.77281062, -111.50285292,
#        -92.20219565,  -72.83083797,  -53.22488595,  -30.        ])
#
#qh2omix      deldmix

0.9          -400.         
0.94870685   -380.77753465
1.00298723   -361.55468931
1.06385589   -342.33139412
1.13258978   -323.10756094
1.21081868   -303.88307704
1.30065606   -284.6577958
1.40489288   -265.43152295
1.52729276   -246.20399556
1.67305609   -226.9748487
1.84957801   -207.7435607
2.06774279   -188.5093588
2.34425684   -169.27104746
2.70614246   -150.0266732
3.2001539    -130.77281062
3.91480987   -111.50285292
5.04043633   -92.20219565
7.07459747   -72.83083797
11.86154155  -53.22488595
36.68196945  -30.

